Venue,Date Start,Date End,Monday Start,Monday End,Tuesday Start,Tuesday End,Wednesday Start,Wednesday End,Thursday Start,Thursday End,Friday Start,Friday End,Saturday Start,Saturday End,Sunday Start,Sunday End
Zoo,March 1,October 31,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,5:00 PM,9:30 AM,5:00 PM
Zoo,November 1,February 28,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM,9:30 AM,4:00 PM
JoCo Library,January 1,December 31,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,6:00 PM,9:00 AM,5:00 PM,Closed,Closed
Science City,Memorial Day,Labor Day,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,12:00 PM,5:00 PM
Science City,Labor Day,Memorial Day,Closed,Closed,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,12:00 PM,5:00 PM
Wonderscope,January 1,December 31,Closed,Closed,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,5:00 PM,12:00 PM,5:00 PM
Deanna Rose Farmstead,April 1,October 31,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM
Leawood Aquatic Center,Memorial Day,August 14,11:30 AM,8:00 PM,11:30 AM,8:00 PM,11:30 AM,8:00 PM,11:30 AM,8:00 PM,11:30 AM,8:00 PM,11:30 AM,8:00 PM,11:30 AM,8:00 PM
Leawood Aquatic Center,August 15,Labor Day,Closed,Closed,4:00 PM,7:00 PM,Closed,Closed,4:00 PM,7:00 PM,Closed,Closed,11:30 AM,6:00 PM,11:30 AM,6:00 PM
Overland Park Arboretum,September 1,March 30,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM
Overland Park Arboretum,April 1,August 30,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM
Prarie Fire Museum,January 1,December 31,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,12:00 PM,5:00 PM
